QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20151224_003409	The doll is glowing just like Yane said.{nl}Please take it to her.	야네 말처럼 인형이 빛나고 있군요.{nl}그녀에게 어서 전달해 주세요.				계시자 미하일
QUEST_20151224_003410	It won't move.{nl}It's completely stuck to the spot.	진짜 질리지도 않는군요.{nl}오도가도 못하게 막혀버렸어요.				계시자 미하일
QUEST_20151224_003411	I think I can break it down with a bomb.{nl}Two minutes should be enough. Please hold back the demons.	이건 제가 폭탄으로 어떻게든 부술 수 있을 것 같네요.{nl}2분이면 됩니다. 마족이 작업을 방해하지 못하도록 부탁드립니다.				계시자 미하일
QUEST_20151224_003412	Success!{nl}	성공입니다!{nl}				계시자 미하일
QUEST_20151224_003413	The explosion is sure to make demons come running here.{nl}I'll try and stop them as much as I can; you take care of Delmore Rephaim.	폭발 소리를 듣고 마족들이 쫓아올 겁니다.{nl}그건 제가 어떻게든 막아볼 테니 당신은 델무어 르바임을 부탁합니다.				계시자 미하일
QUEST_20151224_003414	You're here...{nl}	왔군..{nl}				델무어 르바임
QUEST_20151224_003415	You must think I lost now that you found me.{nl}But I won't lose that easily.{nl}	날 따라잡았으니 내가 졌다고 생각하겠지?{nl}하지만 그냥 지는 건 있을 수 없는 일이야.{nl}				델무어 르바임
QUEST_20151224_003416	It's true... I don't think I can become a god.{nl}But I can turn myself into something more noble.{nl}	그래.. 내가 신이 될 수 있을 거라고 생각하진 않네.{nl}하지만 나 자체가 좀 더 고결한 무언가가 될 수도 있겠지.{nl}				델무어 르바임
QUEST_20151224_003417	All my possessions, my people, my knowledge, they're still not enough!{nl}Revelators... Their power alone will guide me.{nl}	내 재산, 내 주민, 내 모든 지식을 쏟아부어도 아직 부족해!{nl}계시자.. 그들의 신성한 힘만이 날 이끌어 줄 거야.{nl}				델무어 르바임
QUEST_20151224_003418	Surprised?{nl}This Kruvina is the first piece made with all my loyal vessels.{nl}	놀랐나?{nl}이 크루비나는 내 충성스런 가신들로 만든 첫 번째 작품이었지.{nl}				델무어 르바임
QUEST_20151224_003419	Consider it an honor to be its first victim.{nl}Don't worry, I'll make sure to turn all the other Revelators into Kruvina so you won't feel lonely!	첫 제물이 된 것을 영광으로 생각하게.{nl}외롭지 않게 나머지 계시자들도 전부 크루비나로 만들어 줄 테니까!				델무어 르바임
QUEST_20151224_003420	Of course monsters are a threat, but not as much as the demons.{nl}If we keep exterminating them this place will soon be free of the demons.	몬스터들도 물론 위협적이지만 마족만큼은 아니겠지요.{nl}꾸준히 퇴치하다 보면 이곳에서 마족이 사라질 날도 머지 않을 겁니다.				계시자 야네
QUEST_20151224_003421	The box is empty.	상자는 비어 있다.				상자
QUEST_20151224_003422	Entrance Portal	입구 포탈				
QUEST_20151224_003423	Do you want to enter the room?	방으로 이동하시겠습니까?				입구 포탈
QUEST_20151224_003424	Exit Portal	출구 포탈				
QUEST_20151224_003425	Do you want to exit the room?	방에서 빠져나가시겠습니까?				출구 포탈
QUEST_20151224_003426	Mine Wagon	광산 수레				
QUEST_20151224_003427	Do you want to cross to the other side?	반대편으로 이동하시겠습니까?				광산 수레
QUEST_20151224_003428	Unidentified Scarecrow	정체불명의 허수아비				
QUEST_20151224_003429	For gimmick use	기믹용				신비한 알림판
QUEST_20151224_003430	Mysterious Pillar	신비한 기둥				
QUEST_20151224_003431	Here you can play a pair-matching game with monsters.{nl}Inside each barrel is a monster and your goal is to find and eliminate pairs of identical monsters. {nl}You have 20 tries. Would you like to play?	이 곳에서는 몬스터를 이용한 짝 맞추기 게임을 진행합니다.{nl}상자에 숨어있는 몬스터 중 같은 몬스터를 찾아서 없애는 게임입니다. 기회는 총 20번 주어집니다.{nl}도전 하시겠습니까?				부서진 오벨리스크
QUEST_20151224_003432	Mysterious Bulletin Board	신비한 알림판				
QUEST_20151224_003433	311st day of the War{nl}-{nl}Unbelievable news.{nl}Legendary marksman Lydia Schaffen has sided with the Royal Army.{nl}Although I tried to calm my subordinates by asking whether she was better than our Commander Ruklys, but once the anxiety and nervousness spreads, there's nothing we can truly do about it.{nl}	전쟁 311일째{nl}-{nl}믿을 수 없는 소식이다. {nl}전설의 명궁 리디아 샤펜이 왕국군의 편에 선다고 한다.{nl}그녀가 우리 루클리스 장군님보다 낫다는 말이냐며 수하들을 다그쳐 봤지만 이미 퍼지기 시작한 불안과 동요는 어쩔 수 없는 것 같다.{nl}	QUEST_20151016_002784	311th day of the War{nl}-{nl}Unbelievable news.{nl}Legendary marksman Lydia Schaffen has sided with the Royal Army.{nl}Although I tried to calm my subordinates by asking whether she was better than our Commander Ruklys, but once the anxiety and nervousness spreads, there's nothing we can truly do about it.{nl} 	전쟁 311일째{nl}-{nl}믿을 수 없는 소식이다. {nl}전설의 명궁 리이아 샤펜이 왕국군의 편에 선다고 한다.{nl}그녀가 우리 루클리스 장군님보다 낫다는 말이냐며 수하들을 다그쳐 봤지만 이미 퍼지기 시작한 불안과 동요는 어쩔 수 없는 것 같다.{nl}	많이 훼손된 서적
QUEST_20151224_003434	331st day of the War{nl}-{nl}No matter how this war ends, if given the chance, I want to kill the chancellor.{nl}If we emerge victorious, I will ask Ruklys to have me execute him, and if we fail, I will at least want to charge at his barricade and stab his chest with a blade; even if I die in the process.{nl}Eminent has started to take over the Earth Tower while leading the demons.{nl}As a human being, how dare he join forces with the demons...?	전쟁 331일째{nl}-{nl}만약 기회가 닿는다면 이 전쟁이 어떻게 끝이 나는 에미넌트 그 자식만은 꼭 내가 죽이고 싶다. {nl}이긴다면 루클리스님에게 그 놈의 처형 집행을 내게 시켜달라 할 것이고, 진다면 그 놈의 막사로 돌격이라도 감행해서 그 놈의 가슴에 칼을 꽂고 전사하고 싶을 지경이다.{nl}에미넌트는 마족들을 이끌고 대지의 요새를 휩쓸기 시작했다.{nl}인간으로서 어떻게 마족과 손을 잡는단 말인가..	QUEST_20151016_002787	331st day of the War{nl}-{nl}No matter how this war ends, if given the chance, I want to kill the chancellor.{nl}If we emerge victorious, I will ask Ruklys to have me execute him, and if we fail, I will at least want to charge at his barricade and stab his chest with a blade; even if I die in the process.{nl}Eminent has started to take over the Earth Tower while leading the demons.{nl}As a human being, how dare he join forces with the demons...?	전쟁 331일째{nl}-{nl}만약 기회가 닿는다면 이 전쟁이 어떻게 끝이 나는 에미넌트 그 자식만은 꼭 내가 죽이고 싶다. {nl}이긴다면 루클리스님에게 그 놈의 처형 집행을 내게 시켜달라 할 것이고, 진다면 그 놈의 막사로 돌격이라도 감행해서 그 놈의 가슴에 칼을 꽂고 전사하고 싶을 지경이다.{nl}에미넌트는 마족들을 이끌고 대지의 탑을 휩쓸기 시작했다.{nl}인간으로서 어떻게 마족과 손을 잡는단 말인가..	많이 훼손된 서적
QUEST_20151224_003435	If you adore the goddess so much, then allow me send you back to Her!	여신의 품이 그토록 좋다면 내 손으로 직접 보내주마!	QUEST_20151102_002979	Did your legs froze from fear?{nl}Or do you actually believe a human like you can handle my axe?{nl}	겁에 질려 다리가 얼어붙은 것인가.{nl}아니면 감히 인간 따위가 내 도끼를 받아낼 수 있을 거라 생각하는 건가?{nl}	마군주 자우라
QUEST_20151224_003436	The Story of Karolis Vol. 1	카롤리스 이야기 1권				
QUEST_20151224_003437	The Springs of Karolis hide the story of a not so well-known hero.{nl}-{nl}Karolis... He was the favorite disciple of Tesla, the most famous of the Dievdirbys.{nl}Commanded by Goddess Ausrine, Tesla had carved several statues of the Spirit-Leading Owl.{nl}	카롤리스의 샘터엔 잘 알려지지 않는 영웅의 이야기가 숨어 있습니다{nl}-{nl}카롤리스.. 그는 가장 유명한 딥디르비인 테슬라가 가장 좋아하던 수제자였습니다.{nl}테슬라는 아우슈리네 여신의 부탁으로 영혼을 인도하는 부엉이 조각상을 깎았습니다.{nl}				카롤리스 이야기 1권
QUEST_20151224_003438	He placed each statue in a different spot deep within the dark forest.{nl}This was to guide the spirits on their way to Goddess Ausrine.{nl}He also made a friend to protect the owls - Sequoia.{nl}	완성된 부엉이 조각상들은 깊고 어두운 숲 여기 저기에 세워 두었지요.{nl}영혼들이 아우슈리네 여신께 가다가 길을 잃지 않도록요.{nl}그리고 그 부엉이를 지킬 멋진 친구인 세콰이아도 만들었어요.				카롤리스 이야기 1권
QUEST_20151224_003439	The Story of Karolis Vol. 3	카롤리스 이야기 3권				
QUEST_20151224_003440	Karolis looked at the girl and said,{nl}"I will give you my life, if you give me the power to protect you."{nl}With a sad look on her face, the girl shook her head, but Karolis would not give up.{nl}	카롤리스는 소녀를 바라보며 말했습니다. {nl}제 모든 생명을 당신께 드릴 테니 저에게 당신을 지킬 힘을 달라고요.{nl}소녀는 슬픈 표정으로 고개를 가로저었지만, 카롤리스의 고집을 꺾을 순 없었습니다.{nl}				카롤리스 이야기 3권
QUEST_20151224_003441	And so, with a reluctant nod of the girl's head, Karolis' body began to glow as it turned into a tree.{nl}The light radiating from him turned all the demons in the forest to ashes and drove away all evil energy within it.{nl}	소녀가 마지 못해서 고개를 끄덕이자 카롤리스의 몸이 밝게 빛나며 한 그루의 나무로 변했습니다.{nl}그리고 거기서 뿜어져 나오는 빛은 숲에 있던 모든 마족들을 재로 만들었고, 숲에서 나오던 사악한 기운까지 한 번에 날려버렸습니다.{nl}				카롤리스 이야기 3권
QUEST_20151224_003442	The girl left in tears, and the forest once charged with evil forces was now filled with divine energy.{nl}Karolis' traces can be found to this day.{nl}Letas' holy trees are descendants of the tree Karolis was turned into.{nl}	소녀는 눈물과 함께 그 숲을 떠났고, 사악한 기운이 뿜어져 나오던 그 숲은 신성한 기운이 가득한 곳으로 바뀌었습니다.{nl}지금도 카롤리스의 흔적을 찾아볼 수 있습니다.{nl}레타스의 신성한 나무들이 카롤리스가 변한 나무의 후손들이지요.{nl}				카롤리스 이야기 3권
QUEST_20151224_003443	To this day, Karolis protects the forest.{nl}He was never able to become the great Dievdirbys he had dreamed of, but his sacrifice lives on.{nl}	카롤리스는 그 숲을 지금도 지키고 있습니다.{nl}자신의 꿈인 위대한 딥디르비는 되지 못했지만, 그의 희생은 지금까지도 길이길이 전해지고 있습니다.{nl}				카롤리스 이야기 3권
QUEST_20151224_003444	Demon Class Notes	마족 수업 필기				
QUEST_20151224_003445	Today's class notes... I'm so sleepy. I want my bed...{nl}-{nl}Since the beginning of human history, the goddesses have exercised their benign power on people.{nl}Demons, then, are the evil forces opposed to that power.{nl}They use their own power to hurt humans and work against the goddesses.{nl}	오늘의 수업 필기.. 너무 졸립다. 자고 싶다..{nl}-{nl}여신들께서는 우리 인간의 역사가 시작될 때부터 언제나 인간을 위해 선한 권능을 행사하셨어요.{nl}하지만 마족은 그 선함에 반대되는 악한 존재이지요.{nl}언제나 그들의 힘으로 인간에게 해를 끼치고 여신께 대적했으니까요.{nl}				마족 수업 필기
QUEST_20151224_003446	Evil itself has no substance.{nl}Knives, for example, can be used both to hurt people and prepare food.{nl}But demons are absolute evil.{nl}Demons cannot be eternal, and they are not accepted by the goddesses.	악함이란 건, 실체가 없어요.{nl}식칼은 사람을 해칠수도 있지만, 요리를 만들어 주잖아요?{nl}하지만 마족은 절대적인 악이에요.{nl}마족들은 영원할 수 없고, 여신께서는 마족을 용납치 않으세요.				마족 수업 필기
QUEST_20151224_003447	The Mystery of Bracken Forest	고사리 숲의 신비				
QUEST_20151224_003448	Koru Jungle, Knidos Jungle and Dadan Jungle are all known for their herbs, but particularly for their bracken.{nl}The night dew gathers in their small, closely arranged leaves, creating a fantastic sight when the first rays of light shine on them every morning.{nl}	코루 숲, 크니도스 숲, 다단 숲은 약초로도 유명하지만, 그 중에서도 제일 유명한 건 고사리이다.{nl}작은 고사리들이 잘게 군집되어 새벽 이슬을 머금은 채로 떠오르는 아침 햇살을 받아 환상적으로 빛난다.{nl}				고사리 숲의 신비
QUEST_20151224_003449	Watching the bracken spores float around when the season comes makes one wonder if such a sight isn't too a blessing of the goddesses.	그 고사리들이 철이 되어 포자를 날리는 광경을 보고 있으면 여신의 은혜란 이런 것이 아니겠는가 하고 생각하게 된다.				고사리 숲의 신비
QUEST_20151224_003450	King Kadumel's Prison	카듀멜 국왕의 감옥				
QUEST_20151224_003451	The Ashaq Underground Prison is the only remaining prison out of several built in the south part of King Kadumel's kingdom.{nl}Despite its connection to Ruklys Civil War and King Kadumel's tyranny, the building remains to this day as it was maintained through the years for various purposes other than a prison.{nl}	아샤크 지하 감옥은 카듀멜 국왕의 시대에 왕국 남부에 지어진 감옥 중 현재까지 남아있는 거의 유일한 감옥입니다.{nl}루클리스의 반란이라던가 카듀멜 국왕의 폭정의 산물이라고 평가되어도 긴 시간 동안 남아 있을 수 있었던 이유는 여러 세력이 감옥이 아닌 각자 다른 목적으로 사용했었기 때문입니다.{nl}				카듀멜 국왕의 감옥
QUEST_20151224_003452	Curiously, despite this, the building's structure and interior have maintained the same atmoshpere of the original prison.	다만, 그럼에도 불구하고 감옥의 내부나 구조는 그 당시의 감옥의 분위기 그대로 이어져 내려오고 있다는 점도 특이한 일입니다.				카듀멜 국왕의 감옥
QUEST_20151224_003453	Orsha, City of Commerce	상업도시 오르샤				
QUEST_20151224_003454	Orsha, the city of commerce. Great as it was, it did not survive Medzio Diena unscathed.{nl}Large tree roots spreaded throughout Orsha, demolishing the city's mighty walls and causing an earthquake of tremendous magnitude.{nl}The disaster killed the lord of Orsha and all his successors, merely sparing his only daughter, who is currently in charge of the city.	상업도시 오르샤. 그 찬란한 위상도 신수의 날을 피해가지 못했다.{nl}오르샤를 향해 뻗은 나무뿌리는 오르샤의 웅장한 성벽을 허물고 도시 전체에 엄청난 규모의 지진을 동반했다.{nl}그 결과, 오르샤의 영주와 그의 계승자들은 모두 사망하였고, 어린 외동딸만이 살아남아 현재의 오르샤를 지탱하고 있다.				상업도시 오르샤
QUEST_20151224_003455	Zeraha's Goddess Statue	제라하의 여신상				
QUEST_20151224_003456	Unlike the other goddesses, Laima, the goddess of fate and foresight, exists only in records.{nl}Goddess Laima's encounters with humans are scarce and so are her known blessings, making her a lesser known deity despite being one of the main goddesses.{nl}	다른 여신과는 달리 기록에만 존재하는 운명과 예지의 여신 라이마.{nl}라이마 여신께서는 인간들과 접촉이 드물고, 전해져오는 은총도 다른 여신에 비해 드물기 때문에 많은 여신들 가운데 주된 여신임에도 불구하고 그리 유명하지 않다. {nl}				제라하의 여신상
QUEST_20151224_003457	Despite this, the statue of Goddess Laima in Zeraha is universally admired for its tremendous size and beauty.{nl}Some believe that in ancient times there could have existed a hidden city, while others say the city was built in a single day by the power of the goddess.{nl}	한 편, 제라하에 있는 라이마 여신상은 눈 앞에 펼쳐지는 그 엄청난 크기와 아름다움에 모두가 숨을 죽인다.{nl}혹자는 고대에 숨겨진 도시가 있었을 것이라고 하고, 어떤 이는 여신의 권능으로 하루 만에 만들어졌다고도 한다.{nl}				제라하의 여신상
QUEST_20151224_003458	Whatever the truth, it is believed that the people who built the statue are no longer among us, their few descendants having created a village where they currently live.	어떤 것이 사실이던, 그 여신상을 만든 사람들은 전부 사라지고 아주 약간의 후손들만이 남아 마을을 이루고 살고 있다고 한다.				제라하의 여신상
QUEST_20151224_003459	The Correct Classification of Demons and Monsters	마족과 몬스터의 올바른 구분법				
QUEST_20151224_003460	There is no exact way to classify demons and monsters based on external appearance.{nl}Those familiar with monsters can often distinguish them from demons, however this knowledge comes merely from experience and not from the application of general principles.{nl}	마족과 몬스터를 외형적으로 구분할 수 있는 확실한 방법은 존재하지 않는다.{nl}몬스터에 능숙한 사람이라면 현존하는 모든 마족과 몬스터를 구분할 수 있으나 이는 경험의 축척일 뿐, 일반적인 법칙이 따로 존재하여 아는 것이 아니다.{nl}				마족과 몬스터의 올바른 구분법
QUEST_20151224_003461	There is one fundamental internal difference between demons and regular monsters.{nl}Demons possess a mind capable of producing thoughts, among which is their clear malevolence towards humans.	마족은 그 내면에 일반적인 몬스터와 분명한 차이점이 있다.{nl}마족은 생각과 심리를 가지고 있으며, 그 가운데 인간에 대한 분명한 악의를 품고 있다.				마족과 몬스터의 올바른 구분법
QUEST_20151224_003462	The Alchemist's Oath	알케미스트 선서				
QUEST_20151224_003463	The Alchemist's Oath originated in the Winterspoon family, known as the founders of alchemy.{nl}Their principals were passed down and, over time, they became established as the alchemists' official rules.{nl}	알케미스트의 선서는 연금술의 종주가문인 윈터스푼 가문의 가훈이 전해져 내려오는 것으로{nl}다른 모든 알케미스트들 사이에 오랜 세월에 걸쳐 원칙으로 확립되었다.{nl}				알케미스트 선서
QUEST_20151224_003464	{nl}One. Alchemists must not defy the will of the goddesses through their research or its results.{nl}-{nl}One. Alchemists may not harm what is good or the goddesses through their research or its results.{nl}-{nl}One. Alchemists may not use the goddesses or fellow humans as materials.{nl}	{nl}하나. 모든 알케미스트의 연구와 결과는 모든 여신의 섭리를 거스르지 않아야 한다.{nl}-{nl}하나. 모든 알케미스트의 연구와 결과는 선과 여신을 해쳐서는 안 된다.{nl}-{nl}하나. 모든 알케미스트는 여신과 인간을 재료로 절대 쓰지 않는다.{nl}				알케미스트 선서
QUEST_20151224_003465	All alchemists vow to protect others by obeying these principles.	모든 알케미스트는 위의 조항을 지키며 다른 사람들이 지키도록 노력한다.				알케미스트 선서
QUEST_20151224_003466	Old Diary	낡은 일기				
QUEST_20151224_003467	Ours was a peaceful kingdom. There was nothing we lacked and people were happy.{nl}Every year we celebrated the spring festival and the goddesses answered our prayers.{nl}But eventually, more and more of our prayers started being left unanswered.{nl}Was it an omen? Suddenly, in the center of the capital an enormous tree sprouted up from the ground and started to spread out.{nl}	정말 평화로운 왕국이었지. 무엇 하나 부족한 것이 없었고 모두가 행복했었어.{nl}매년 봄이 오는 축제를 했고 여신들께선 언제나 우리들의 기도에 화답하셨어.{nl}하지만 언젠가부터 여신들께선 하나 둘 씩 우리들의 기도에 응답하지 않으시더군.{nl}그것이 예고였을까. 수도의 한 가운데서 갑자기 거대한 나무가 솟아오르면서 폭주하기 시작했어.{nl}				낡은 일기
QUEST_20151224_003468	Within moments, the capital was destroyed beyond recognition and many had to face the loss of loved ones.{nl}After the initial shock, people started to run, trying to escape the source of the disaster.{nl}But it was far from over.{nl}	수도는 손 쓸 수도 없이 순식간에 파괴되었고 많은 이들은 사랑하는 사람의 죽음에 눈물을 흘려야 했지.{nl}정신을 차렸을 때 많은 사람들이 재앙에서 벗어나려고 달리기 시작했어.{nl}하지만 재앙은 그것이 끝은 아니었어. {nl}				낡은 일기
QUEST_20151224_003469	The colossal tree spread out its fully-bloomed flowers and started to engulf those trying to escape.{nl}Soon the capital had completely collapsed. The tremendous aftermath extended the disaster to many other cities.{nl}	그 아름드리 나무가, 흐드러지게 피던 꽃들이 입을 벌려 도망치던 사람들을 집어삼키기 시작했지.{nl}수도는 그렇게 멸망해 버렸어. 그 여파는 너무나도 거대해서 많은 도시들도 화를 입었다더군.{nl}				낡은 일기
QUEST_20151224_003470	Four years have passed since the nightmare.{nl}The wounds have hardly begun to heal. The goddesses remain unheard of.{nl}Monsters continue to terrorize our world and the affected cities are yet to be reconstructed.{nl}We still struggle with the lack of supplies, but we're trying to return to our normal lives as best as we can.{nl}	그 악몽에서 4년이라는 시간이 흘렀어.{nl}상처를 아무는 데도 턱없이 부족한 시간이지. 여신께선 아직도 응답이 없으셔.{nl}몬스터들은 여전히 흉폭하고 파괴된 도시들도 복구되지 않았어.{nl}모든 것이 부족해서 허덕이고 있지만, 어떻게든 원래의 생활을 되찾기 위해 모두가 노력하고 있어.{nl}				낡은 일기
QUEST_20151224_003471	In Klaipeda, some people have started to recount dreams of the goddesses.{nl}If only that were a sign that the goddesses are returning.{nl}If... if they come back, can we finally wake up from this nightmare?	헌데 클라페다에 여신의 꿈을 꾸었다던 사람들이 갑자기 나타나기 시작한거야.{nl}그게 여신께서 돌아오신다는 징조라면 좋으련만.{nl}여신께서.. 여신만 돌아오신다면 이 기나긴 악몽에서 깨어날 수 있는 걸까.				낡은 일기
QUEST_20151224_003472	Letter for an Unknown Receiver	수취인 불명의 편지				
QUEST_20151224_003473	...{nl}These spores grow out from the body of the host by feeding off the host's energy of after laying dormant for a while. Spores that have fully grown to ferns immediately prepare to multiply by emitting the same spores.{nl}The enlargement of the ferns is going smoothly as well.{nl}The ferns can be made to emit more spores in a larger radius at any time.{nl}	..님{nl}이 포자는 얼마간의 잠복기를 지나 숙주의 체내에서 생명을 양분삼아 몸 바깥으로 자랍니다.{nl}고사리로 자라난 포자는 곧바로 번식 준비를 마치며 같은 성질의 포자를 내뿜습니다.{nl}고사리의 거대화도 순조롭습니다.{nl}포자를 더 많이, 그리고 더 멀리 내뿜을 수 있도록 언제든지 만들어 낼 수 있습니다.{nl}				수취인 불명의 편지
QUEST_20151224_003474	I am thinking of regulating through controlling a qualifier.{nl}There is no trouble in the maintaining a steady supply of subjects and finding qualifiers. {nl}I prompted the monsters into positions where they will attack towns.{nl}As planned, the Lord of Orsha has issued migration orders, and will not notice if a few towns disappear.{nl}	그 조절은 적합자를 통해 제어할 생각입니다.{nl}실험체의 원활한 공급과 적합자를 찾는 것도 문제 없습니다. {nl}몬스터를 자극하여 마을을 습격하도록 배치했습니다.{nl}계획대로 오르샤 영주가 이주령을 내렸으니 마을 하나 둘 없어진다 한 들, 오르샤도 알아채지 못할 것입니다.{nl}				수취인 불명의 편지
QUEST_20151224_003475	Leave it to me.{nl}At this rate, we will be able to sacrifice not only Orsha, but the entire kingdom as nourishment for the Divine Tree.{nl}{nl}	제게 맡겨 주십시오.{nl}이대로라면 오르샤는 물론이고 왕국 전체를 신수의 양분으로 바칠 수 있습니다.{nl}{nl}				수취인 불명의 편지
QUEST_20151224_003476	Lord Delmore Rephaim. {nl}Begin preparations for the next plan at once.{nl}Survival of the vessel planned to protect the Reservoir Kruvina has been confirmed.{nl}The ferns are growing at a steady pace and we will soon be able to capture the targeted qualifier.{nl}	델무어 르바임님. {nl}어서 다음 계획을 준비하십시오.{nl}수원지의 크루비나를 지킬 그릇의 생존이 확인되었습니다.{nl}고사리들도 순조롭게 거대화되고 있으며 목표인 적합자도 곧 포획할 수 있습니다.{nl}				인장이 찍힌 편지
QUEST_20151224_003477	The demons have not caught on yet. {nl}If everything goes to plan, it will be possible to steal the divine power as a new ingredient.	마족은 아직 눈치채지 못하고 있습니다. {nl}이번 일만 순조롭게 되면 새로운 재료인 신성력을 빼앗는 것도 가능합니다.				인장이 찍힌 편지
QUEST_20151224_003478	Officer's Diary Volume I	장교 일지 상				
QUEST_20151224_003479	The lord issued new construction orders even as the restoration work after Medzio Diena was being conducted.{nl}He said that it was to create a large barrier to ward off monsters.{nl}As ordered, I divided sections with the new mages and deployed soldiers accordingly.{nl}	신수의 날 복구 공사가 한창인 가운데 성주님께서 새로운 공사를 명하셨다.{nl}몬스터들을 막기 위해 거대한 결계를 만든다고 하셨다.{nl}나는 명령대로 새로 온 마법사들과 함께 구획을 나누고 병사들을 새로이 배치하였다.{nl}				장교 일지 상
QUEST_20151224_003480	The work on restoration and the barrier is going smoothly.{nl}There was a bit of trouble with public order, but was sorted soon enough.{nl}	복구 공사와 결계 공사는 순조롭게 진행되고 있다.{nl}약간의 치안 문제가 발생하였지만 그것도 곧 제압되었다.{nl}				장교 일지 상
QUEST_20151224_003481	The Lord of Orsha sent Migration Recommendations.{nl}I am sure that our lord will not respond to such nonsense.{nl}Abandoning your hometown is such a ridiculous thought.{nl}I also doubt that Orsha has the capacity to receive all the new refugees.{nl}	오르샤 영주 쪽에서 이주 권고가 날라들었다.{nl}성주님께선 그 권고를 받아들이시지 않으라고 믿는다.{nl}세상에, 고향을 버리라는게 말이 되는가?{nl}그리고 오르샤가 이 많은 성주민들을 받을 능력이 되는지도 의문이다.{nl}				장교 일지 상
QUEST_20151224_003482	The lord advanced the deadline for the barrier saying that protecting the people from monsters is more important than the restoration projects.{nl}Workforce from the restoration project will be reassigned to the construction of the barrier.	성주님께서 복구보단 몬스터에게서 주민들의 안전이 먼저라고 말씀하시며 결계 공사 완료 기한을 앞당기셨다.{nl}복구 인원을 전부 결계 공사로 돌릴 것이다.				장교 일지 상
QUEST_20151224_003483	Officer's Diary Part II	장교 일지 하				
QUEST_20151224_003484	The barrier was completed thanks to the cooperation of the mages.{nl}We will be safe from all monster threats as soon as the lord finishes the last stage on the barrier.{nl}I had heard rumors that our lord is an alchemist that is recognized by even the Winterspoon family. They must not have been exaggerations afterall.{nl}	마법사들의 협조로 결계 공사가 완료되었다.{nl}성주님께서 마지막 작업만 완료하시면 이제 몬스터의 모든 위협에서 안전할 것이다.{nl}과연 성주님께선 윈터스푼 가문에게서도 인정받은 엄청난 실력의 알케미스트라더니, 결코 과장은 아니었나 보다.{nl}				장교 일지 하
QUEST_20151224_003485	I received reports to raise the watch level to maximum from guard posts located outside of the castle walls.{nl}They say that demons are coming.{nl}	성 바깥의 경계 초소로부터 경계를 최대치로 올릴 것을 전달받았다.{nl}마족이 몰려오고 있다고 한다.{nl}				장교 일지 하
QUEST_20151224_003486	The lord ordered that all soldiers including those stationed at guard posts are to accompany all residents and vassals within the castle to the device.{nl}We may finally be able to see the full might of the barrier.{nl}I divided the resident ledger by section and distributed it to all squads.	성주님께서 모든 병사는 물론이고 경계 초소의 병사까지 지금 즉시 성 내의 모든 주민과 가신들을 데리고 장치 앞으로 모이라는 명령을 내리셨다.{nl}드디어 그 결계 장치의 위엄을 볼 수 있는 것인가.{nl}성내 인원 장부를 구획별로 나누어 모든 분대에게 나누어 주었다.				장교 일지 하
QUEST_20151224_003487	Monster of Absenta Reservoir	압셈타 수원지의 괴수				
QUEST_20151224_003488	The astonishment of when coming across the uncanny monster called a Hydra at the Absenta Reservoir cannot be fully put into words.{nl}It has six serpentine heads, crawls on four finned feet and can also swim freely because it also has a large fin on its tail.{nl}	압셈타 수원지에서 만난 히드라라는 기괴한 몬스터를 만났을 때의 눌라움이란, 말로 다 할 수 없다.{nl}뱀과 비슷한 여러 개의 머리를 달고 지느러미가 달린 네 발로 엉금엉금 기어다니며 꼬리에도 큰 지느러미가 있어 물 속을 자유로이 헤엄친다.{nl}				압셈타 수원지의 괴수
QUEST_20151224_003489	It lurks in the depths of the Reservoir and swallows prey in one mouthful after killing it with it's big mouth and fangs. {nl}While it is only as big as a grown man, it is very agile and has remarkable recuperative powers.{nl}Thankfully, it is not hotile towards humans allowing the nearby residents to simply call it a mystical creature and avoid it.	수원지 깊은 곳에 숨어서 큰 입과 송곳니로 먹이의 숨통을 끊어 한 입에 꿀꺽 삼킨다. {nl}크기는 성인 남자 정도의 작은 크기지만 매우 잽싸고 상처를 입어도 회복력도 좋다.{nl}다행히 인간에게 호전적이지 않아서 인근 주민들도 굳이 잡을 필요가 없어 영물이라 부르며 서로 기피한다.				압셈타 수원지의 괴수
QUEST_20151224_003490	The sun was so nice that I decided to dry the books in the sunlight.{nl}I was afraid that they might have gone moldy if I had left them inside any longer.{nl}	햇볕이 좋아서 책에 볕 좀 쬐러 나왔어요.{nl}더 이상 놔뒀다간 책에 곰팡이가 슬 것 같아서요.{nl}				오르샤 주민
QUEST_20151224_003491	If you ever wish to read something, please come in any time to have a look.{nl}It is always nice to have books read regardless of who is reading them.	혹시 읽고 싶으면 사양 말고 언제든 오셔서 읽으셔도 좋아요.{nl}책이란 건 누구라도 많이 읽어 주면 좋은 거잖아요?				오르샤 주민
QUEST_20151224_003492	It looks as if there are a few books laying in the wooden chest.{nl}Would you like to read one?	나무 궤짝 안에 몇 권의 책이 보인다.{nl}한 번 읽어볼까?				나무 궤짝
QUEST_20151224_003493	Miscellaneous	잡동사니				
QUEST_20151224_003494	It looks as if there are a few books mixed in with the odds and ends.{nl}What would you like to read?	잡동사니 사이에 몇 권의 책이 보인다.{nl}무엇을 읽어볼까?				잡동사니
