QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20151112_002967	そウか…{nl}貴様の手で壊されルくらいなら…{nl}
QUEST_20151112_002968	クルビナの力で全部八つ裂きにしてくれル！！！
QUEST_20151112_002969	何をしているのダ、注視者よ…。{nl}これは貴様には関係の無い事ダ！
QUEST_20151112_002970	愚か者め…。{nl}ギルティネ様の任務をもう忘れてしまったのか！{nl}
QUEST_20151112_002971	この力は、貴様ごときが手にすべきものではない。{nl}
QUEST_20151112_002972	だが、あの啓示者は…。{nl}確実に排除しておかなければ。{nl}
QUEST_20151112_002973	ジャウラ。{nl}任務を疎かにした罪は、あの啓示者の死をもって償ってもらおう。{nl}
QUEST_20151112_002974	ギルティネ様が貴様に力を与えてくださった。{nl}この力がクルビナの代わりになってくれるはずだ。{nl}{nl}
QUEST_20151112_002975	今のは…？{nl}女の子ですよね？{nl}
QUEST_20151112_002976	あの奇怪な光は何…。{nl}一体何が起きているのです？{nl}
QUEST_20151112_002977	…ままままずは村に戻って、フェレットが現れたと報告します。{nl}たた助けてくださってありがとうございました。
QUEST_20151112_002978	女神様、どうか私の勘が当たりますように。{nl}あぁ、それと…焚き火をするには薪が必要ですよ？{nl}
QUEST_20151112_002979	魔神ギルティネ
QUEST_20151112_002980	ライマの翼…。{nl}何度見ても美しいな…。
QUEST_20151112_002981	でも、その色はあまり私の好みではないのう…。
QUEST_20151112_002982	
QUEST_20151112_002983	後悔しているのか？{nl}驚くことではない。全て感じられるのだよ。{nl}私たちは姉妹だから…ね。
QUEST_20151112_002984	
QUEST_20151112_002985	
QUEST_20151112_002986	
QUEST_20151112_002987	
QUEST_20151112_002988	
QUEST_20151112_002989	どこからか私を呼ぶ声がする。
QUEST_20151112_002990	大地を浄化する方法…。{nl}きっと私よりクレリックの方々のほうが詳しいと思いますが。
QUEST_20151112_002991	魔族を浄化する方法？もちろん知ってるわ。{nl}
QUEST_20151112_002992	まずは息を止める。誰にも気づかれないようにね。{nl}その後、背後にそっと近づけばいいの。{nl}
QUEST_20151112_002993	なんだ、魔族じゃなく大地を浄化する方法？{nl}ならここじゃなくてドルイドマスターを訪ねたら？
QUEST_20151112_002994	ドッペルゾルドナーの力が必要だと？{nl}俺にそれなりの報酬を払うほど価値のある仕事なのか？{nl}
QUEST_20151112_002995	待てよ……大地を浄化する方法だ？{nl}おい…、俺は傭兵なんだぞ。悪いが他をあたってくれ。
QUEST_20151112_002996	大地を浄化する方法…？ならここは違うな。{nl}どう考えても、あそこにいるドルイドマスターのほうがプロだと思うが？
QUEST_20151112_002997	フェレットは危機を感じると死んだふりをするようだ。
QUEST_20151112_002998	フェレットは意外と果物は好きではないようだ。
QUEST_20151112_002999	トーテム、触る、フェレット、強くなる。{nl}フェレット！人間、勝つ！
QUEST_20151112_003000	果物、大きくなる！{nl}臆病な人間、逃げる！{nl}
QUEST_20151112_003001	人間、資格ない！{nl}フェレットが追い出す！
QUEST_20151112_003002	魔族、フェレット、助けると言った。{nl}強くすると、言った！{nl}
QUEST_20151112_003003	魔族、守れと言った。{nl}人間！近づく、できない！{nl}
QUEST_20151112_003004	そうすれば魔族、フェレット、助ける、ずっと！
QUEST_20151112_003005	少女は何も言わずにゼラハへ駆けて行った。追ってみよう。
QUEST_20151112_003006	少女が追って来いと言っているようだ。
QUEST_20151112_003007	全部手に入れましたか？
QUEST_20151112_003008	遺品捜索中
QUEST_20151112_003009	遺品を見つけました
QUEST_20151223_003010	トラス
QUEST_20151223_003011	コンパニオンの名前を決めるんだ。一生の相棒だからな、ちゃんと考えるんだぞ。コンパニオンの名前を決めてほしい。
QUEST_20151223_003012	奥深き地下監獄
QUEST_20151223_003013	奥深き地下監獄(推奨レベル：217)は、あなたとPTを組んだプレイヤーだけが入場できます。{nl}入場しますか？
QUEST_20151223_003014	あぁ、そうしてくださると助かります。{nl}
QUEST_20151223_003015	鍛冶屋ザラス
QUEST_20151223_003016	装備商人ダンケル
QUEST_20151223_003017	雑貨商人ミリナ
QUEST_20151223_003018	治癒の聖物は本来、啓示を守るために作られたもの。{nl}これでジェスティを誘い出し、倒すのだ。{nl}
QUEST_20151223_003019	アクセサリ商人ロネッサ
QUEST_20151223_003020	先日現れた啓示者のおかげで、魔族たちが魔術師の塔を掌握するのを阻止できたと聞きました。{nl}ですが、私なら最初から誰にも狙われないくらいの準備をしたと思います。{nl}
QUEST_20151223_003021	私の一族のようにならないためにも。
QUEST_20151223_003022	鍛冶屋アンナ
QUEST_20151223_003023	アクセサリ商人ヨアナ
QUEST_20151223_003024	魔族が何を仕掛けてこようと、我々女神たちの力で食い止められると思っていました。{nl}しかし、まさかギルティネが神樹を使ってしまうとは…。{nl}
QUEST_20151223_003025	女神は、初代パラディン様へ色んなことを伝えられた。{nl}魔将ジェスティの脅威や、守るべき使命…。{nl}
QUEST_20151223_003026	その中には救済者が現れるだろうというものもあったのだ。{nl}
QUEST_20151223_003027	でも、クラペダのアウシュリネ女神像は変わってるんですよ。{nl}女神ヴァカリネでもないのに、行きたい場所へ運んでくれるそうですから。
QUEST_20151223_003028	生と死の間に立つ仲介業者。{nl}ボコルとは何かと聞かれたらそう答えるじゃろう。
QUEST_20151223_003029	マーケット管理人ロージー
QUEST_20151223_003030	霊魂を導くフクロウの彫像を造る度に、死はわしから遠ざかる。{nl}こんな老いぼれでも女神様の力となり、世の役に立てるのならば、いつまででも生きようと思っとるんじゃよ。
QUEST_20151223_003031	あんたも永遠の命に興味があるの？{nl}ネクロマンサーは死者を扱うから、逆に考えたら簡単なことだよ。{nl}
QUEST_20151223_003032	マーケット管理人モルン
QUEST_20151223_003033	あの恐怖から救ってくださってありがとうございました。{nl}ささやかですが、私の力も受け取ってください。
QUEST_20151223_003034	もしかして、私たちの力を手に入れたまま逃げるつもりじゃありませんよね？{nl}隊長フクロウに頼まれたから、とりあえず力は分けますけど…。
QUEST_20151223_003035	まだ正気に戻って間が無いので、力もこれしかありませんが…。{nl}でも、そのわずかな力だけでもお役に立てれば光栄です。
QUEST_20151223_003036	ユルス様、ご命令を果たせず…申し訳ありません。{nl}デルムーア城は滅びてしまいました。目も当てられないほどに悲惨な光景です。{nl}魔族どもが…人間を狩り始めました。{nl}
QUEST_20151223_003037	自分だけは何とか命拾いしましたが、オルシャに生きてたどり着くことはできないでしょう。{nl}誰か、この手紙を拾ってくれたなら、オルシャのユルス様へ…。{nl}どうか、我が一族の栄光を取り戻してください。エラス
QUEST_20151223_003038	強くなければ魔法とは言えない。{nl}強い魔力から強い魔法が生み出されるんだ。{nl}弱い魔法で何ができると思う？{nl}
QUEST_20151223_003039	君も強いウィザードになりたければ修練を怠ってはダメ。{nl}}まぁ、頑張ったところで私のような天才に追いつけるかどうかはわからないけど。
QUEST_20151223_003040	魔法を使用するときは、とにかく平常心を保てることが重要です。{nl}平常心を失えば、魔法を正しく使用できないだけでなく、自分に危険が及ぶことも理解してください。{nl}
QUEST_20151223_003041	魔法を扱う者は、頭も心も常に冷静でいる必要があります。
QUEST_20151223_003042	高位魔法であるほど繊細な制御が必要だね。{nl}ささいな失敗が致命的な結果をもたらすこともあるだろう。{nl}
QUEST_20151223_003043	君に実力が伴って多くの魔法を扱うことになっても、この点を忘れてはいけない。
QUEST_20151223_003044	私にできるアドバイスですか？{nl}リンカーとして言わせてもらうと、できるだけ広い視野を持ってください。{nl}
QUEST_20151223_003045	時々魔法を使ってる人たちを見ると…、{nl}自分の魔法に集中しすぎて周囲に気を配れないことが多いようです。{nl}
QUEST_20151223_003046	自分や敵のことはもちろん、共に闘う仲間のことも常に意識しなければならないのです。{nl}
QUEST_20151223_003047	自分の魔法がどのような影響を与えるか、事前に考える必要があります。{nl}そうでなければ、むやみに武器だけ振り回す初心者の兵士たちと同じですよ。
QUEST_20151223_003048	…このように大きな事故と偉業を繰り返したジェライは、結局自分の身に発現した超能力の正体を共に研究する仲間を探すようになります。{nl}その流れでウィザードたちの集いである魔法協会の門を叩くようになったのです。{nl}
QUEST_20151223_003049	そして彼らは、ジェライの能力は特殊な条件を満たさなくても誰もが学べる可能性があるということに気付きます。{nl}いわば魔法のようなものですね。{nl}
QUEST_20151223_003050	そうしてジェライは、魔法協会の正式な会員、初代サイコキノマスターとして認められました。{nl}もちろん、本人も当時は自分が魔法の一学派の元祖になるとは全く思っていなかったようですが。
QUEST_20151223_003051	…つまり、サイコキノの魔法が対象の身に発現する際に得られる結果は同じでも、実際は二つのパターンで発現するということを認識しなければならない。{nl}一つ目は、一般的な魔力を応用し超能力を実体化させることである。{nl}
QUEST_20151223_003052	そしてもう一つは、非常に稀な事例でありこの系統の魔法を成立させた原動力になったもので、一部の能力者たちが自分の超能力を自然に実体化させるケースである。{nl}
QUEST_20151223_003053	このような能力者たちは、初代マスターのジェライ以降時々出現していたが、こういった生まれつきの発現以外にも一般的な魔法学習によって同じ結果を得られるという事実はすでに誰もが把握している。
QUEST_20151223_003054	…世界中に災いが広まっている中、この私、イリー・テリードは先代サイコキノたちの業績を受け継いだマスターとして、神樹の日以前の歴史を記録することが大切だと思い、この文書を書きはじめる。{nl}
QUEST_20151223_003055	人間離れした強い精神力を持って生まれ、それを実体化させる者たちが家族や友人へ意図せぬ被害を与えないようにし、正しい魔法の道へ導くことは、初代から今まで受け継がれてきたマスターとしての最も重要な役目である。{nl}
QUEST_20151223_003056	一見簡単そうに見える役目だが、おろそかにされた時に起こりうる災いは小さな村にとって神樹の日にも劣らない強烈さだろう。
QUEST_20151223_003057	……長い時間を一つの任務に費やす者たちに心理的な問題が起こりやすいということは、魔法学だけでなく一般的にも通用する問題である。{nl}特に魔術師の塔のウィザードたち…たくさんのウィザードたちと競争しながら先代が残した偉大な業績と毎日向き合う立場ならなおさらである。{nl}
QUEST_20151223_003058	ならば、心理的な問題を制御し予防できる仲間としての役割は誰が担うべきなのか。{nl}我々サイコキノが彼らを守らなければ、間違いなく狂暴化したウィザードが現れ、それがもしも強力なウィザードならば、魔術師の塔や世間で何を起こしてしまうかわからない。{nl}実例として、アンタレスは強力な力に目がくらみ……。{nl}
QUEST_20151223_003059	(ページが破れている。)
QUEST_20151223_003060	世界が災いに満ちている今こそ、サイコキノとしての役割を果たす時といえる。{nl}女神を失って迷走しているクレリックたちを守り、世界中に出没しているモンスターを精神支配し、退治するなど、今できる全てのことに全力で取り組む必要があるのだ。{nl}
QUEST_20151223_003061	もしかするとそれが、かつて女神が担っていた重大な責務をその肩から下ろすことにつながるかもしれない。{nl}
QUEST_20151223_003062	たとえば、伝説の幻想図書館を見つけてその中にいる女神を助けたり、もしそこにも女神がいなければそれを回復、維持させることが重大な役目となるだろう。
QUEST_20151223_003063	ウィザードは、全ての魔法の基本を最も徹底している魔術師です。{nl}より強い魔法を探究するなら、やはり基本に戻って学び直すことが大切ではないでしょうか。
QUEST_20151223_003064	もちろん、強い魔力から強い魔法が生み出されます。{nl}しかし、一つの魔法だけにこだわらず、他の魔法との連携を図る必要もあるのです。
QUEST_20151223_003065	オルシャに来た移住民たちが城壁に絡んだ木の根を見て心配してるんだ。{nl}全部燃やしてしまいたい気分だけど、下手するとオルシャ全体に被害が及ぶかもしれない。
QUEST_20151223_003066	パイロマンサーの魔法はすごくパワフルで魅力的なの。{nl}でも、手に負えないほど大きな炎を起こすだけならただの放火魔でしょ？{nl}
QUEST_20151223_003067	不利な状況を有利に変えられるのがクリオマンサーなのです。{nl}冷静さ、平常心を保つことが魔力の原動力となります。
QUEST_20151223_003068	クリオマンサーは常に冷静さを保ち、何事に対しても慎重でなければなりません。{nl}自慢、放心、怠りは死をもたらします。
QUEST_20151223_003069	今オルシャには、移住民と難民の区別がつかないほど大勢の人が集まってきているんす。{nl}きっと領主様はご無理をなさっているんすよ…。
QUEST_20151223_003070	サイコキノの魔法は他の系統の魔法とは違うんす。{nl}自分を信じる力。底なしの自信。これこそがサイコキノの持つ力の原動力なんす。
QUEST_20151223_003071	神樹の日以降も様々な問題が相次いでいます。{nl}ひょっとすると一番重要な問題はまだ未解決の状態なのかもしれません。
QUEST_20151223_003072	世の中の全ての存在には、互いをつなぐ媒介のようなものがあります。{nl}皆は一つという気持ちでお互いのことを受け入れ合えば戦いは起こらないでしょう。
QUEST_20151223_003073	身体変形の魔法は実に不思議な魔法だが、単純に学んだからといって強くなれるわけではない。{nl}実践できる自信がないなら、他の道を選んだほうが身のためだ。
QUEST_20151223_003074	ソーマタージュにとって大切なのは実践だ。{nl}属性や形態を変えながら戦闘を有利に導かなければならない。
QUEST_20151223_003075	オルシャ内でも色んな事故が相次いでいますが、何一つまともに解決できていません。{nl}こういう時こそ実力者が前に出て人々を助けなければなりませんが…。
QUEST_20151223_003076	私たちは一つの属性にこだわっていません。{nl}エレメンタリストというのは、いろんな属性を組み合わせてより良い効果を{nl}発揮できるものですから。
QUEST_20151223_003077	弓の魅力といえば、敵が近付く前に勝負できることです。{nl}まぁ、もちろん的中できなければ意味はありませんけどね。
QUEST_20151223_003078	アーチャーは誰と戦っても負けたりしませんが、特に力を発揮できる相手がいるんです。{nl}それは飛行型でありながら、クロース防御タイプの敵なんですよ。
QUEST_20151223_003079	敵の数が多いからって逃げる気なら他をあたって。{nl}一人ずつのんびり倒すなんて、まっぴらよ。
QUEST_20151223_003080	レンジャーのスキルは同時に複数の敵と戦うことに特化してるの。{nl}こんな多くの移住民を守るのなら、そのほうが効果的でしょ？
QUEST_20151223_003081	盾でも石でも、何でも使えるものは使わないといけません。{nl}格好つけて戦う暇なんてありませんよね？
QUEST_20151223_003082	派手なスキルももちろんいいですが…{nl}何より大事なのは怪我をせず生き残ることなのです。
QUEST_20151223_003083	たくさんの敵を罠を使って一気に片付けるのが我々サッパーの得意技です。{nl}元工兵の経験をここで活かしてみようと思ってます。
QUEST_20151223_003084	私が考えるサッパーとは、常に慎重でなければなりません。{nl}誤って設置した一つの罠が戦場の流れを完全に変えてしまうこともあるのですよ。
QUEST_20151223_003085	ハンターならコンパニオンとの関係がもっとも大切だ。{nl}優秀な戦友であり頼もしい仲間だからな。
QUEST_20151223_003086	誰ひとりハンターの視野から逃れることはできない。{nl}隠れた敵を一人残さず見つけ出して処断できるのだ。
QUEST_20151223_003087	私の双子の妹、メイ・パットはクラペダの向こうでポイズンシューターサブマスターとして{nl}任務にあたってるんだ。{nl}オルシャのことも心配だけどあそこの状況も気になるな…。
QUEST_20151223_003088	ポイズンシューターは毒を扱うから、怖がって距離を置こうとする人たちもいる。{nl}そんなむやみに使ってるわけでもないのに。{nl}まぁ、危ないことは危ないんだけどね。
QUEST_20151223_003089	オルシャの外では今でも避難民たちが長蛇の列を作っているそうです。{nl}オルシャに入れない人もいるそうですが…心配で仕方がありません。
QUEST_20151223_003090	スカウトは、敵陣に侵入、偵察することに特化しています。{nl}敵は私たちが入っていることすら気付かずにやられてしまうのです。
QUEST_20151223_003091	空の巻物
QUEST_20151223_003092	何も書かれていない
QUEST_20151223_003093	文字の見える巻物
QUEST_20151223_003094	神樹の日からすでに3年が経っているが、未だミハルさえも行方不明の状態だ。{nl}これ以上の捜査は難しいため、神樹の日にはぐれた仲間と彼らがもつ王室の物の捜索は暫定中止とする。{nl}この指令を確認した者はただちにメサパスラの集結地へ帰還せよ。{nl}-{nl}ユラ・スワヨネ
QUEST_20151223_003095	…ん？{nl}その巻物は…。{nl}
QUEST_20151223_003096	これは…知ってるよ。{nl}特殊な液に触れれば文字が現れるように作られた秘密文書だ。{nl}
QUEST_20151223_003097	懐かしいな。{nl}我々スカウトもたまに使う方法だよ。{nl}
QUEST_20151223_003098	文字を浮かばせる液を作ってあげる…のは難しいけど、やり方を教えてあげるね。{nl}ちょっと複雑だけど、この通りにすれば内容が確認できるはず。
QUEST_20151223_003099	君は誰だ？{nl}どうしてその巻物を手に入れてここまで来てるか、正直に話さなければ…{nl}今日ここで君の人生は終わりだ。{nl}
QUEST_20151223_003100	巻物の隠された内容を読んでここまで来たって？{nl}それは驚いた…。あぁ、さっきの無礼は許してくれ。{nl}
QUEST_20151223_003101	その巻物は他のシノビに渡してたものだよ。{nl}もうそのシノビはこの世にいないけど……こうやって色んな人の手を渡って戻ってくるなんて、なんだか変な気分だ。
QUEST_20151223_003102	とにかく、本当にありがとう。{nl}お詫びの代わりというのもなんだけど…いつかシノビに興味ができたら声をかけてくれ。{nl}
QUEST_20151223_003103	こう見えてもシノビたちの間では有名なんだ。{nl}君一人ぐらい余裕で教えられるさ。
QUEST_20151223_003104	お詫びの代わりにできることはシノビのスキルの伝授ぐらいだけど…。{nl}君には合わないみたいだからそれもできないね。{nl}
QUEST_20151223_003105	とにかく、本当にありがとう。{nl}そうそう、私がここにいることは誰にも教えちゃダメだ。わかったね？
QUEST_20151223_003106	数字が書かれた碑石
QUEST_20151223_003107	灯篭
QUEST_20151223_003108	正体不明のキューブ
QUEST_20151223_003109	端末機を特別な時以外に触ってもらっては困るのだが…。{nl}その呪いを解いてあげよう。
QUEST_20151223_003110	女神の姿とともに、柱に 1 という数字が書かれている。
QUEST_20151223_003111	人間の姿とともに、柱に 1 という数字が書かれている。
QUEST_20151223_003112	魔神の姿とともに、柱に 1 という数字が書かれている。
QUEST_20151223_003113	女神の姿とともに、柱に 2 という数字が書かれている。
QUEST_20151223_003114	人間の姿とともに、柱に 2 という数字が書かれている。
QUEST_20151223_003115	魔神の姿とともに、柱に 2 という数字が書かれている。
QUEST_20151223_003116	女神の姿とともに、柱に 3 という数字が書かれている。
QUEST_20151223_003117	人間の姿とともに、柱に 3 という数字が書かれている。
QUEST_20151223_003118	魔神の姿とともに、柱に 3 という数字が書かれている。
QUEST_20151223_003119	・・・・・・・？{nl}
QUEST_20151223_003120	これはすでに起きてしまった災い…。{nl}だが、さらに大きな災いが芽吹こうとしています…。{nl}
QUEST_20151223_003121	魔族は救済の光を狙っています…。{nl}
QUEST_20151223_003122	少しはお分かりになりましたか？{nl}自分がどんなに愚かなことをしたのかを。{nl}
QUEST_20151223_003123	オルシャ掲示板
QUEST_20151223_003124	天恵の街、オルシャに女神の栄光あれ！
QUEST_20151223_003125	オルシャ住民
QUEST_20151223_003126	あの…オルシャに伝わる伝説をご存知ですか？{nl}オルシャの住民なら誰もが知っている話なんですが。{nl}
QUEST_20151223_003127	遠い昔、オルシャに一人の幼い牧童が暮していました。{nl}ある日、牧童はオルシャ外郭で羊を追っている途中ある少女に出会いました。{nl}
QUEST_20151223_003128	牧童は少女とよく遊ぶようになりました。{nl}少女は言葉が話せないのか、いくつかの単語を書いては指差し、{nl}かろうじて自分の意志を伝えていたそうです。{nl}
QUEST_20151223_003129	その後、不思議なことが起こりました。{nl}少女が牧童に伝えていたことは、大きなことでも些細なことでも全て実現してしまうのです。{nl}
QUEST_20151223_003130	不思議に思った牧童は、叔父のブローエルに少女のことを話しました。{nl}ブローエルはオルシャの司祭だったからです。{nl}
QUEST_20151223_003131	話を聞いたブローエルはただごとではないことに気付きました。{nl}そして翌朝、甥と一緒に少女に会いに行ったのです。{nl}
QUEST_20151223_003132	ブローエルは少女の顔を見ると、女神の前のように跪きました。{nl}そして少女は、ブローエルのほうを向いて何も話さず地面に何かを描き始めたそうです。{nl}
QUEST_20151223_003133	ブローエルが少女の描いた魔法陣の中に足を踏み入れると、{nl}頭の中にゆっくりと何かが浮かんだそうです。{nl}三つの重要な事件……。{nl}司祭であるブローエルはその重大さを誰よりもよく分かっていました。{nl}
QUEST_20151223_003134	神樹の日…オルシャの災い…。{nl}そしてもう一つは、オルシャの司教にしか伝わっていないものらしいのです。{nl}
QUEST_20151223_003135	その日以来少女は現れなくなり、牧童は成長して優秀なクレリックになりました。{nl}神樹の日とオルシャの破壊はすでに起きているのですが、残りの一つは一体何なのでしょうか？
QUEST_20151223_003136	移住民の少女
QUEST_20151223_003137	あの女神像を見ていると胸が苦しくなります。{nl}こんなに不安なのに女神様の姿もなく…私たちはこの先どうなってしまうのでしょう？
QUEST_20151223_003138	あなたもご存じの通り、王国には有名な5人の女神がいらっしゃいます。{nl}そして、その方々を補佐する女神様も多くいらっしゃいます。{nl}
QUEST_20151223_003139	でも、今は皆どこにいらっしゃるのか誰も知りません…。
QUEST_20151223_003140	今、私の前にある女神像はアウシュリネ様のものです。{nl}アウシュリネ様は朝を導く女神様であり、全ての女神の首長でもあります。{nl}
QUEST_20151223_003141	人は死ぬというより女神の元へ還ると表現しますよね？{nl}その女神というのがこの女神アウシュリネなんです。
QUEST_20151223_003142	ガビヤ様は火を司る女神です。{nl}家事をする人たちは女神ガビヤにたくさんお祈りをささげているんですよ。{nl}
QUEST_20151223_003143	そうすればお家を守れて温かい食事も作れますから。{nl}ウィザードたちは、ゴホン…やはりもう少し誠意をもって祈る必要があるのかもしれませんね。
QUEST_20151223_003144	ジェミナ様は大地の女神です。{nl}なので農業や作物にも関わっていらっしゃいます。{nl}
QUEST_20151223_003145	私の家は農家なので、毎日女神ジェミナへのお祈りは欠かせません。{nl}美味しい芋を収穫するためには女神ジェミナのお恵みがとても重要なんですよ。{nl}
QUEST_20151223_003146	ところで…神樹の日から今までずっと植物が暴走してる件なんですけど…。{nl}女神ジェミナ女神はどう思っていらっしゃるのでしょうか？
QUEST_20151223_003147	女神ヴァカリネは夜の空を率いて、次の日に女神アウシュリネを目覚めさせます。{nl}夜空に赤く輝く星が女神ヴァカリネの象徴なんですよ。{nl}
QUEST_20151223_003148	活力と癒しも司っているので、あなたのような旅人の守護神でもあります。{nl}もし脚に疲れが出たら、女神ヴァカリネの名を三回呼んでみてください。{nl}きっとすぐに良くなるはずですよ。
QUEST_20151223_003149	女神ライマは……、うーん…私にもよくわかりません。{nl}司祭様方ならご存知だと思いますが……。{nl}
QUEST_20151223_003150	運命と予知の女神らしいですが、まだ一度も現れていないんです。{nl}たぶん、女神ライマはこの一連の災いをすでにご存じだったのではないでしょうか？
QUEST_20151223_003151	移住民の青年
QUEST_20151223_003152	苦労してやっとオルシャに入れたと思ったら…{nl}なんだこの騒ぎは！神樹の日と変わらないじゃないか！
QUEST_20151223_003153	オルシャの話はずっと前から聞いてるよ。{nl}神樹の日に木の根がオルシャ城郭を襲ったらしいな。{nl}
QUEST_20151223_003154	でも、神樹の日からもう4年が経ってるんだぞ。{nl}
QUEST_20151223_003155	安全だから移住命令を出したんじゃないのか？{nl}一体この事態をどう受け止めればいいんだ…？
QUEST_20151223_003156	神樹の日は本当に酷かったよな。{nl}どこかで聞いた話だが…4年前の真夜中に巨大な災いが起きたらしい。{nl}
QUEST_20151223_003157	特に首都のほうがすごかったみたいでね。{nl}首都のど真ん中の地下深くから巨大な木が突き上がったそうだ。{nl}
QUEST_20151223_003158	首都は一瞬にして廃都へと変わり…{nl}生存者の証言によれば天と地がひっくり返ってしまったらしい。{nl}
QUEST_20151223_003159	それだけじゃない。木の根はこのオルシャ城郭を完全に覆っているんだよ。{nl}ここオルシャの他にフェディミアンも神聖地区以外は全部巻き込まれてしまったそうだ。{nl}
QUEST_20151223_003160	神樹の日の余波は田舎の小さな村にまで及び、{nl}木や農作物が肥大化したりモンスター化していった。{nl}
QUEST_20151223_003161	そして、そのモンスターどもが向かった先は…人のいる村だった。{nl}住民たちは戦う術を持たないからさ、襲撃された村は廃墟と化して…。{nl}
QUEST_20151223_003162	4年も前の出来事だが今もはっきり覚えてるよ。{nl}一体、女神はどこに姿を消してしまったんだか…。
QUEST_20151223_003163	ワラビなど、適合者がいるからもう一度育て直せばよい！{nl}ギルティネ様のご計画に逆らえる者などいないのだ。
QUEST_20151223_003164	何か引きずられたような跡がある。
QUEST_20151223_003165	魔族の足跡がたくさん残っているだけで、他に気になるものはない。
QUEST_20151223_003166	血痕のようなものは全く見当たらない。
QUEST_20151223_003167	行商人ロゼ
QUEST_20151223_003168	ラッシュはきっと疲れ果てているでしょう。{nl}私たちを魔族から守ってくれたのですから。
QUEST_20151223_003169	ラッシュはきっと疲れ果てているでしょう。{nl}魔族から私たちを守ってくれたのですから。
QUEST_20151223_003170	行商人ラミレ
QUEST_20151223_003171	ラッシュだ！ロゼは大丈夫でしたか？{nl}すぐに戻らなければ。
QUEST_20151223_003172	実験被害者ティリス
QUEST_20151223_003173	まだ女神のもとへ逝きたくはありません！{nl}助けてください…。
QUEST_20151223_003174	体力回復ポーションでもお持ちですか？
QUEST_20151223_003175	黒い物体でした。{nl}とにかく、何でもいいので持ってきてください。装置に入れて確認してみます。
QUEST_20151223_003176	本館アトリウムの奥にある装置が、エドムンダスが言ったシールド装置のようだ。
QUEST_20151223_003177	自分は突然、気付いてしまった。{nl}初めは大して興味のないいくつかのおとぎ話に命をかけてしまうところだったと思っていたが…{nl}そう…はっきりと気付いてしまったのだ。{nl}
QUEST_20151223_003178	全てのものには意味がある。{nl}本質には魂が宿る。{nl}
QUEST_20151223_003179	この残酷な事実を誰にも知られないように、よりたくさんの罠を用意することに決めた。{nl}破壊はできない。自分では…。{nl}
QUEST_20151223_003180	あなたはもう逃げられない。{nl}この碑石を見ているあなたもすでに見て確認しているはず。{nl}
QUEST_20151223_003181	これから…本当に悲惨なことが起きてしまうだろう。
QUEST_20151223_003182	ダダンの森・実験日誌1ページ
QUEST_20151223_003183	クルビナの性能はすでにベライの森で確認された。{nl}しかし、ここダダンの森にはペルケ神殿跡とつながる支流がない。{nl}装置を使って供給する必要がある…。
QUEST_20151223_003184	ダダンの森・実験日誌2ページ
QUEST_20151223_003185	巨大ワラビ計画は順調に進められている。{nl}適合者を通じて制御することができるだろう。{nl}胞子を培養するために、トリカブトを含めより多くの植物材料が必要である。{nl}成分抽出のための蒸留設備と材料をダダンの森へ運搬するように。
QUEST_20151223_003186	ダダンの森・実験日誌4ページ
QUEST_20151223_003187	修道院の実験体だけでは足りない。{nl}もっとたくさんの実験結果が必要だ。{nl}
QUEST_20151223_003188	伝播力、持続力、致命度、気候抵抗力など…{nl}できる限りの情報を抽出せよ。{nl}周辺の村の村人を集めれば、十分な量の実感体を入手できるはずだ。
QUEST_20151223_003189	ダダンの森・実験日誌3ページ
QUEST_20151223_003190	供給装置の動力源は過熱防止策をとる必要がある。{nl}冷気の魔法を応用すれば、過熱防止と動力源の保護、二つを同時に解決することができる。
QUEST_20151223_003191	いらっしゃいませ！{nl}ソケット、修理、製造書などなど…何でもお任せくださいね。
QUEST_20151223_003192	移住命令の影響で物資が足りず、新しい注文を受け付けることは難しいです。{nl}でも、私の実力も父には負けませんから何でもおっしゃってみてください。
QUEST_20151223_003193	オルシャの再建と移住命令のせいで本当にバタバタしています。{nl}しかし装備の質だけはどこにも負けませんよ！
QUEST_20151223_003194	私は店員なのでお安くすることはできませんが、{nl}オーナーに相談してみますのでとりあえず商品をご覧になってください！
QUEST_20151223_003195	雑貨商人アルフ
QUEST_20151223_003196	移住命令の影響で友だちは増えましたが、お爺さんは仕入れが大変で困ってるそうです。{nl}でもうちの品は全て最高のものばかりですよ！ お好きなだけ選んでみてくださいね。
QUEST_20151223_003197	神樹の日のせいでお爺さんが病気になってしまったので、お手伝いしてるんです。{nl}ゆっくりご覧くださいね～！
QUEST_20151223_003198	モンスターが多すぎてフェディミアンとの取引は途切れてしまいましたが、{nl}まだ在庫は残っています。皆、頑張っていますのでよかったらご利用ください。
QUEST_20151223_003199	今は少し物騒ですが、それでもオルシャは良い街なんですよ。{nl}では、どの商品をお見せしましょうか？
QUEST_20151223_003200	孤独な旅にはこのコンパニオンのような頼もしい仲間が必要だ。{nl}ちゃんと命令に従うし、いつもそばにいてくれるし…何より見た目が可愛らしいよな。
QUEST_20151223_003201	この子たちは君の戦闘に協力することもできる。{nl}君が戦闘する様子を隣で見守ってもらったり、訓練することも可能だ。{nl}
QUEST_20151223_003202	それに、君の選択したクラス次第ではコンパニオンを乗り物として使うこともできるぞ。{nl}意志疎通はできなくても人間より役立つ場合もあるのさ。
QUEST_20151223_003203	マーケット管理人ティリアナ
