UI_20150317_000001	{@st41b}各クラスのマスターのところで{nl}特性を習得できます。{/}
UI_20150714_001637	{@st66b}ウィンドウモード{/}
UI_20150714_001638	{@st66b}効果音の音量(%s){/}
UI_20150714_001639	{@st66b}音楽の音量(%s){/}
UI_20150714_001640	{@st66b}サウンド全体の音量(%s){/}
UI_20150714_001641	{@st66b}低スペックモード{/}
UI_20150714_001642	{@st66b}自動調整{/}
UI_20150714_001643	{@st66b}使用しない{/}
UI_20150714_001644	{@st66b}ブルーム適用{/}
UI_20150714_001645	{@st66b}ビネッティング適用{/}
UI_20150714_001646	{@st66b}FXAA適用{/}
UI_20150714_001647	{@st66b}GLOW適用{/}
UI_20150714_001648	{@st66b}Depth適用{/}
UI_20150714_001649	{@st66b}SoftParticle適用{/}
UI_20150714_001650	{@st66b}ハイスペックテクスチャ適用{/}
UI_20150714_001651	{@st66b}垂直同期オン{/}
UI_20150714_001652	{@st66b}垂直同期オフ{/}
UI_20150714_001653	{@st66b}{s20}アイテムの出し入れには%sシルバーを消耗します。{/}{/}
UI_20150714_001654	%sが私を好きです。
UI_20150714_001655	{@st41}観戦する
UI_20150714_001656	{@st66b}観戦終了
UI_20150714_001657	ゲームを見つけました。参加しますか？
UI_20150714_001658	{@st41}参加
UI_20150714_001659	{@st41}拒否
UI_20150714_001660	試合終了
UI_20150714_001661	デス
UI_20150714_001662	ダメージ量
UI_20150714_001663	{@st41}ゾーンへ戻る
UI_20150714_001664	{@st41b}%s秒後、ゾーンへ移動します…{/}
UI_20150714_001665	{@st59}メッセージボックスを開きます{/}
UI_20150714_001666	{@st42}バラック変更{/}
UI_20150714_001667	{@st42}バラック設定{/}
UI_20150714_001668	{@st65}%s 点{/}
UI_20150714_001669	{@st65}%s 個{/}
UI_20150714_001670	{@st65}%s点{/}
UI_20150714_001671	{@st65}%s個{/}
UI_20150714_001672	写真の説明
UI_20150714_001673	{#000000}%s 秒
UI_20150714_001674	{#000000}%s 装着
UI_20150714_001675	PT名 : {#2c140c}%s{/}
UI_20150714_001676	説明 : {#2c140c}%s{/}
UI_20150714_001677	平均レベル :  {#2c140c}%s{/}
UI_20150714_001678	探しているPTメンバー :  {#2c140c}%s{/}
UI_20150714_001679	クエスト共有 :  {#2c140c}%s{/}
UI_20150714_001680	経験値分配ルール :  {#2c140c}%s{/}
UI_20150714_001681	アイテム分配ルール :  {#2c140c}%s{/}
UI_20150714_001682	PTは楽しかったですか？
UI_20150714_001683	{@st42}%sさんが%sを食べました。
UI_20150714_001684	{@st42}%sさんが%sを強化しました。
UI_20150714_001685	メモ :%s
UI_20150714_001686	{@st59}材料アイテムをスロットに追加します。{/}
UI_20150714_001687	{@st66b}価格 : %s{/}
UI_20150714_001688	キャラクター挨拶
UI_20150714_001689	購入依頼商店
UI_20150714_001690	%s 個
UI_20150714_001691	{@41b}条件
UI_20150714_001692	{@st41}削除
UI_20150714_001693	{@st41}更新
UI_20150717_001694	このプレイヤーいいね！{#ffff00}%s{/}
UI_20150717_001695	{@st41b}{s56}このゲームは{#0066FF}
UI_20150717_001696	12歳以上利用可
UI_20150717_001697	{#FFFFFF}です。{nl}{s40} {nl}長時間のゲームプレイは健康を害することがあります。{/}
UI_20150717_001698	{@st66b}入力
UI_20150717_001699	{@st42}自分の召喚獣情報
UI_20150717_001700	{@st59}STA{nl}{@st59s}スタミナが無くなると移動が遅くなります。{/}
UI_20150717_001701	{@st59}インベントリを整列します{/}
UI_20150717_001702	整理
UI_20150717_001703	{@st59}ジョイパッドの説明を閉じます。{/}
UI_20150717_001704	{@st59}キーボードの説明を閉じます。{/}
UI_20150717_001705	マウスチュートリアル
UI_20150717_001706	{@st59}マウスの説明を閉じます。{/}
UI_20150717_001707	攻撃力 : %s
UI_20150717_001708	防御力 : %s
UI_20150717_001709	力 : %s
UI_20150717_001710	体力 : %s
UI_20150717_001711	知能 : %s
UI_20150717_001712	敏捷 : %s
UI_20150717_001713	精神 : %s
UI_20150717_001714	{@st42b}ソードマン系は方向キーを素早く2回入力するとダッシュすることができます。{/}
UI_20150717_001715	{@st42}PT名と説明{/}
UI_20150717_001716	{@st42}PT招待タグ挿入
UI_20150717_001717	{@st41b}公開PTリスト{/}
UI_20150717_001718	{@st41b}推薦キャラクターリスト{/}
UI_20150717_001719	{@st41b}推薦を受ける
UI_20150717_001720	PTリーダーのみ使用可能な機能です。
UI_20150717_001721	PTメンバー推薦機能を使用する必要があります。
UI_20150717_001722	{@st66b}クエスト クラス ネーム{/}
UI_20150717_001723	{@st59b}商店{nl}{@st59s} - アイテムを複数売却/購入するにはShift + 右クリックしてから個数を入力{nl} - アイテムを全て売却するには右ダブルクリック{/}
UI_20150717_001724	{@st59}マウスについて{/}
UI_20150717_001725	{@st66b}整列
UI_20150717_001726	{@st59}アイテムを整列させます。{/}
UI_20150717_001727	{@st59}スロットに武器装着{nl}Alt+Zで武器転換{/}
UI_20150717_001728	他の人の視線で観戦する
UI_20150717_001729	{@st41}バトルフィールド
UI_20150717_001730	結果
UI_20150717_001731	{@st41}すぐに移動
UI_20150717_001732	{@st66b} チーム名はすべてのキャラクターを代表する名前です。{nl}自由に変更できるチーム名は取引やギルド加入、チャットなどに使われる共用の名前です。{/}
UI_20150729_001733	{@st42}学習可能な特性のみ表示{/}
UI_20150729_001734	足の数
UI_20150729_001735	身長
UI_20150729_001736	体重
UI_20150729_001737	{@st43}ジェムロースティング{/}
UI_20150729_001738	{@st59b}アイテム製造{nl}{@st59s} - レシピアイテムを入手うすれば、そのアイテムを製造可能{nl} - レシピと材料をスロットに入れてアイテム製造を実行{nl} - 製造するアイテムに名前とメモを記入可能{/}
UI_20150729_001739	{@st59}矢製造を閉じます。{/}
UI_20150729_001740	必要な破片 : 変異 %s個 / 野獣 %s個 / 植物 %s個
UI_20150729_001741	{@st42b}ソードマン系は方向キーを素早く2回入力すればダッシュすることができます。{/}
UI_20150729_001742	{@st41}PT設定
UI_20150729_001743	{@st41}PT募集設定
UI_20150729_001744	{@st42}PTメンバー探し機能使用{/}
UI_20150729_001745	条件が一致するプレイヤーに会ったら[PT条件一致！]というメッセージが表示されます。
UI_20150729_001746	{@st41b}推薦プレイヤーリスト{/}
UI_20150729_001747	{@st41}特性と情報
UI_20150729_001748	{@st59}強化を取り消します。{/}
UI_20150729_001749	{@st59b}ジェム/カード強化{nl}{@st59s} - 強化するジェムまたはカードをインベントリから選択して登録{nl} - クエストアイテムを除いたすべてのアイテムをジェム強化の材料として使用可能{nl}   (ジェムを材料に使う場合が最も効率が良い){nl} - カード強化は他のカードのみ材料として使用可能{/}
UI_20150729_001750	{#000000}{s22}サーバー入場待機中
UI_20150729_001751	{#000000}{s22}サーバーが満員のため、入場待機しています。
UI_20150729_001752	{#000000}{s22}現在の順位 : %s
UI_20150729_001753	{@st43}チームバトルリーグ
UI_20150729_001754	{@st59}チームバトルリーグを閉じます。
UI_20150729_001755	{@st42}チームバトルリーグ日程
UI_20150729_001756	{@st43}チームバトルリーグランキング
UI_20150729_001757	{@st59}チームバトルリーグランキングを閉じます。
UI_20150729_001758	チーム名
UI_20150729_001759	{@st41b}スキル名
UI_20150729_001760	{@st59}PTミッションの進行を受諾します。{/}
UI_20150729_001761	{@st59}このターゲットを削除します。{/}
UI_20150729_001762	点数
UI_20150729_001763	チームバトルリーグ参加
UI_20150730_001764	{@st56}マイランキング
UI_20150730_001765	{@st56}キルランキング
UI_20150730_001766	{@st56}ダメージランキング
UI_20150803_001767	一般 : /s メッセージ{nl}シャウト : /y メッセージ{nl}PT : /p メッセージ{nl}ささやき : /w チーム名 メッセージ
UI_20150803_001768	{@st66b}ジョイパッド 振動{/}
UI_20150803_001769	ゲームを見つけました。間もなくゲームに入場します。
UI_20150804_001770	{@st43}{s18}アイテムを受け取るキャラクターを選択してください。{/}
UI_20150804_001771	最大ソケット %s個
UI_20150811_001772	{@st43}インスタンスダンジョン
UI_20150811_001773	{@st41}位置確認
UI_20150811_001774	{@st41}閉じる
UI_20150811_001775	{#000000}名前{/}
UI_20150811_001776	{#000000}入場レベル{/}
UI_20150811_001777	{#000000}入場回数{/}
UI_20150811_001778	周辺のPT情報
UI_20150811_001779	{@st42}周辺のPT情報表示{/}
UI_20150811_001780	{@sti9}マイランキング
UI_20150811_001781	{@sti9}キルランキング
UI_20150811_001782	{@sti9}ダメージランキング
UI_20150904_001783	キャンプ維持時間
UI_20150904_001784	効果
UI_20150904_001785	更新するとキャンプ維持時間が増加し、{nl} %sシルバーを消費します。
UI_20150904_001786	個人倉庫
UI_20150904_001787	{@st41b}タイプ : {@sti7}%s{/}
UI_20150904_001788	{@st41b}操作難易度 : {@sti7}%s{/}
UI_20150904_001789	{img silver 20 20} もらう価格
UI_20150904_001790	{@st66b}空ける
UI_20150904_001791	{@sti9}%s{@st66b}との親密度 : {@sti9}%s {@st66b}レベル{/}
UI_20150904_001792	親密度
UI_20150904_001793	{@st41b}製造アイテム材料獲得！
UI_20150904_001794	{@st66b}{s20}あなたは{/}{s20}{#cc6600}{ol}戦闘不能{/}{@st66b}{s20}状態になりました！{/}
UI_20150904_001795	{@st66b}近くの復活地点から再開{/}
UI_20150904_001796	{@st66b}その場で再開(メダル %s個必要){/}
UI_20150904_001797	{@st66b}フィールドに復帰する{/}
UI_20150904_001798	{@st66b}クエストを放棄してやり直す{/}
UI_20150904_001799	{@st66b}再挑戦{/}
UI_20150904_001800	{@st66b}自分が販売したアイテム{/}
UI_20150904_001801	{@st53}ランキングポイント : %s
UI_20150904_001802	{@st66b}PTメンバー以外に食糧提供{/}
UI_20150904_001803	{@st41b}看板名変更
UI_20150911_001804	このプレイヤーいいね！{#ffff00}{ol}%s{/}
UI_20150911_001805	取引不可個数 : %s
UI_20150911_001806	{@st42b}台詞確認{/}
UI_20151014_001807	{#000000}入場回数は%s時に初期化されます。{/}
UI_20151014_001808	{@st59}選択したアイテムがロック状態になります。{/}
UI_20151014_001809	{@st43}キー設定{/}
UI_20151014_001810	{@st45tw2}カテゴリ
UI_20151014_001811	アクション
UI_20151014_001812	基本値復元
UI_20151014_001813	必要な破片 : %s個
UI_20151014_001814	{@st59}プレビューで確認してからバラックのテーマを変更できます。
UI_20151014_001815	取引不可合計: %s個
UI_20151014_001816	定員%s名{/}
UI_20151014_001817	{@st42b}プレビュー
UI_20151014_001818	{@st42b}戻る
UI_20151014_001819	{@st42b}購入
UI_20151014_001820	{@st42b}適用
UI_20151014_001821	ギルド名と紹介文
UI_20151014_001822	チーム名
UI_20151014_001823	階級
UI_20151014_001824	お知らせ
UI_20151028_001825	{@st41b}メダル{/}
UI_20151028_001826	{@st41}サーバー入場待機中
UI_20151028_001827	{#000000}{s18}サーバーが満員のため入場待機中です
UI_20151028_001828	{@st66b18}現在の順位 : %s
UI_20151028_001829	{@st66b}他のキャラクターのエフェクトを見る
UI_20151028_001830	{@st41}メダル
UI_20151028_001831	メダル
UI_20151119_001832	{@st66b}キーの設定
